X1	unique
f698e96ae7e9b7ba774dfa06ceeb780e	 c__Clostridia
7a8f38ac3f190f69763f94b3e1b8099e	 f__[Eubacterium]_coprostanoligenes_group_1
473c3452c4358403cac1a1a3c9f0636b	 f__[Eubacterium]_coprostanoligenes_group_2
a46eaa77a656e7327582b59efe77b66c	 f__[Eubacterium]_coprostanoligenes_group_3
97006bde1455c53c82f117fde8edaed9	 f__[Eubacterium]_coprostanoligenes_group_4
6a0d15d9b25295bde476e46e40d8076c	 f__Erysipelatoclostridiaceae
271461c6283569ae356533f921d689a8	 f__Lachnospiraceae_1
6b163b3ae170fe9bf009209920dd0c78	 f__Lachnospiraceae_2
23aa234b9e2c534a18c1a4f4ac647c9c	 f__UCG-010_1
5f9c74c4553fe8428f316027ae296e67	 f__UCG-010_2
9ac2780339e743a62ef72b60d348878f	 f__UCG-010_3
7afd94200e2b275db6d24532dba6b27f	 f__UCG-010_4
3e1abb88a017dc6a6cfe0cf0a88cb4f4	 f__UCG-010_5
81e0612bed324605c1ff20c280e0df63	 f__UCG-010_6
6b26d47b3210ad11d7b8e61facda68bb	 g__Alistipes_1
ef13338902dec10bdf6d6b85d25d8005	 g__Alistipes_2
ec14a68bf134b5c86ac231307bfde98b	 g__Bifidobacterium
2667e29bfc41a7342c6112a78835bead	 g__Candidatus_Saccharimonas
659bc8e39173706faac19baaab085725	 g__Christensenellaceae_R-7_group_1
06438d2facf851955509149395d620d9	 g__Christensenellaceae_R-7_group_2
15750cbcc14a283c0801c943dc2044a4	 g__Erysipelotrichaceae_UCG-008
6eac8a15a307b2e12f5f62f60e47423a	 g__Family_XIII_UCG-001
da46dc8efca41f6859f76ceedbca0ba8	 g__Monoglobus_1
12b13eb93378a4203d43196eb0cd068d	 g__Monoglobus_2
18ec6531a935d2bcb2a0fdaa1d5e73fb	 g__Prevotellaceae_Ga6A1_group
bb0fb06da3a5a5e09cb71ea49ad49fd0	 g__Rikenellaceae_RC9_gut_group
494588d6ae286b9b813ea1ccb2da2253	 o__Bacteroidales
a77418db84c35cdba6e1254aeaa534f1	 o__Clostridia_UCG-014_1
7029081a0153bb2b2f59db6219ab53df	 o__Clostridia_UCG-014_2
8f15d9741136f7d65bfa6d289ee79689	 o__Clostridia_UCG-014_3
3c7869979dc41c3dce7303340a1fbd4d	 o__Clostridia_UCG-014_4
c2cff75edcac2f18056a41a735694b2e	 o__Clostridia_UCG-014_5
39d583d93c94260ab48e54ae2aa66037	 o__Clostridia_vadinBB60_group
dd82303de07d73180dfde821a5244617	 o__RF39_1
974b87f87f8e124223c9c242336f48aa	 o__RF39_2
