X1	unique
cd5d972e013753f56d7988a0b54287ab	 f__F082_1
b52fd9f63abc6604110adbfbefdc7ad1	 f__F082_2
985a36c052227fcfc92a3153e798d0eb	 f__Lachnospiraceae
6fb1281460610929405f7f6c9c2558a3	 f__p-251-o5
3433848054c6def2d4eb28b71550745f	 f__Prevotellaceae_1
cd8f43429ec8ac6ea86d825cf389a146	 f__Prevotellaceae_2
df8bd393251b799a607b605886d2433a	 f__Selenomonadaceae_1
baf6c7d7ee234bf94e78e8a940b4c90c	 f__Selenomonadaceae_2
6400845e7ad632534765a062709ee918	 g__[Eubacterium]_ventriosum_group
642a079967fb2ac33b7a47589143cef9	 g__Anaeroplasma_1
c8da393dafabaf9ebc14c6c1c0ab0251	 g__Anaeroplasma_2
ecfea1837c55c7587f33d75187f235f5	 g__Anaeroplasma_3
c59e3b25d63906d958447b83cbc6c0d6	 g__Elusimicrobium
8725b0beceae9a0f487786d381f590a1	 g__FD2005
87e7c3cbd0dcc604561471a77905ae9e	 g__NED5E9
f356138c2944628d7b2bcb8c5545cdd0	 g__NK4A214_group_1
58843e0288d9096e3b2a473146da085b	 g__NK4A214_group_2
f58a692668d9c575fcd2a04f9924fcff	 g__Prevotella_1
b3c22df3d7615c43c5710e425a5c90ab	 g__Prevotella_2
52dd2e13f02b87fc59c92b11b0f682b4	 g__Prevotella_3
a45d73662c1703043d9eb1c7fda4a19a	 g__Prevotella_4
b6db20730434475b02dd5889fbfd845f	 g__Prevotella_5
c4fa2e2674a35f5574cbfd63cc08dd71	 g__Prevotella_6
6881b884eddb783f7ae7ce428b063eb3	 g__Prevotella_7
2d76a91c290360b6e39072b394c88edd	 g__Prevotella_8
728cd79a0775b86212344287425183f0	 g__Prevotella_9
92e53d1a69fb186a117502da69f17d96	 g__Prevotella_10
7908fab07437eeda542ac091e1fa1871	 g__Prevotella_11
756976b9893136b2f01192bfa01eb3c8	 g__Prevotella_12
f80064f5fe4e93ea2ee8992dd02a874b	 g__Prevotella_13
9596020af174b7a1359b300218bf1d30	 g__Prevotella_14
c464eac66fc80a6cab5fc63581b26f11	 g__Rikenellaceae_RC9_gut_group
2fda6ab284ccb1b32078f3ab9a4ed9b2	 g__Selenomonas
7a7cfdadc3cd9581921874402cf35284	 g__Shuttleworthia
c636c2dd3551c4bc40a22f3d38870c56	 g__Treponema_1
149409862be7d2169149a9bc9e21fa07	 g__Treponema_2
226701542c86d92de97542ae25f59414	 g__Treponema_3
bd4d93ba8f81ea0cefc25ad24c0f399d	 g__Treponema_4
ddf81afc164f15097ef365aef0940c4d	 g__Treponema_5
f1dc13db6fbadb425edbe15bacc2e34a	 g__Treponema_6
8149bed0f651af0b8add6d2201c0929c	 g__Treponema_7
3e0c9e689d5b6538c1b20cc826c7a73c	 g__Treponema_8
a3575915d0dcad7e6b130222efefb7a6	 g__Treponema_9
c54d5ba2dce8f98ddf977890c4879952	 g__Treponema_10
59cc67d19e26fef0854c8d4876fae9bd	 g__Treponema_11
a198df70078d612198000615d6dc5652	 g__Treponema_12
9d0f1c32adbc30ef940491b5af8d28ee	 g__Treponema_13
fa50c045e3bccb856faf00b9fe7e1546	 g__UCG-004_1
56b55fb405990ff910b9015ff08c1d66	 g__UCG-004_2
f13833fd3a37a0b62f88a172beef1cc8	 g__UCG-004_3
ed1f4aeb9f049810fc3ee993bad2548d	 g__UCG-004_4
1f162461d6bb086cc78e4edb3d5f740b	 g__UCG-005
1d293655d9fb43875ad85b02e8a4c07d	 o__Absconditabacteriales_(SR1)
4fca28f2a9763b2c97e12adcb4787ca6	 o__Bacteroidales
c44acb300d95adbe026d9d70244e1e01	 o__Clostridia_UCG-014_1
5f8dfd43f635176c9bb4853218556c93	 o__Clostridia_UCG-014_2
ab199cc700079d9cbe15e029815b6ed9	 o__Gastranaerophilales_1
bd579bfbcd86d3adcb4cabc6d39c13cd	 o__Gastranaerophilales_2
ae5b637a9462947aad715b33c0dcf0b0	 o__Gastranaerophilales_3
8725409d5888523575c5f53b40b73941	 o__Gastranaerophilales_4
13b7e70051e0663052d52f962ef40e1a	 o__Gastranaerophilales_5
5093a98c37db1662dd5ca3698bf1ea71	 o__Gastranaerophilales_6
69b4a8ec35b626fccc5b9b7b3eb7ad44	 o__RF39_1
f417562c075f5abcdd1e7620b26767bb	 o__RF39_2
9dcbeb84c8de4b260a3d9c7e4ab237a8	 o__RF39_3
f1b46bb10759b9ed8bb96f7e7f4f2949	 o__RF39_4
efa243155ab25618eca3b83762710bd0	 o__RF39_5
d57112cbfedf6e7db7d80e885eedd3a8	 o__Rhodospirillales_1
ee87a75807cc38e74d10d7d825dacbb8	 o__Rhodospirillales_2
5fe5bba344ecce0751628a939c2acb91	 o__Rhodospirillales_3
68a8ecbc9d563da58e9365cdb84d2bd4	 o__Rhodospirillales_4
3bf62a415381ded69aeaad2548ec9aeb	 o__WCHB1-41_1
6cd36c95206f3c144679670411420e4e	 o__WCHB1-41_2
7730f8ab40414d6dff6e043fe716e3e1	 o__WCHB1-41_3
a963c2595bdfe837b9f7c6a5667c345f	 o__WCHB1-41_4
a7f847517e37eb23c63d73f36b2ccfc2	 o__WCHB1-41_5
